1403638131795097088,-0.01466,-0.02019,-0.16320,-0.07835,0.81231,0.08188,0.57211,-0.02587,-0.05707,-0.40154,
1403638131895097088,-0.01907,-0.02670,-0.21096,-0.07090,0.81283,0.08708,0.57158,-0.03022,-0.05428,-0.37478,
1403638131995096832,-0.02177,-0.02946,-0.25177,-0.06583,0.81376,0.09489,0.56960,-0.01452,-0.02339,-0.24171,
1403638132095097088,-0.02161,-0.02832,-0.26901,-0.05849,0.81795,0.11285,0.56107,0.00308,0.01201,-0.01358,
1403638132195097088,-0.02142,-0.02671,-0.25519,-0.06024,0.81756,0.12108,0.55974,0.00914,0.01490,0.30178,
1403638132295097088,-0.02183,-0.02499,-0.21295,-0.07679,0.80965,0.11477,0.57043,0.00167,0.02334,0.50416,
1403638132395097088,-0.02199,-0.02241,-0.15833,-0.09284,0.80491,0.11113,0.57546,-0.00038,0.03880,0.56174,
1403638132495096832,-0.02191,-0.02055,-0.10106,-0.11585,0.79688,0.10136,0.58419,-0.00304,0.01879,0.57090,
1403638132595097088,-0.02199,-0.01945,-0.04720,-0.13796,0.78331,0.08728,0.59981,0.00217,0.04306,0.48760,
1403638132695097088,-0.02224,-0.01280,-0.00596,-0.14771,0.78274,0.08597,0.59842,-0.01089,0.08922,0.30812,
1403638132795097088,-0.02398,-0.00342,0.02006,-0.15155,0.78758,0.08690,0.59093,-0.03538,0.09282,0.18262,
1403638132895097088,-0.02751,0.00259,0.03143,-0.15847,0.78053,0.07781,0.59967,-0.02993,0.04219,0.02344,
1403638132995096832,-0.02906,0.00307,0.02748,-0.16414,0.77372,0.07554,0.60721,0.01056,-0.02328,-0.12644,
1403638133095097088,-0.02590,-0.00350,0.01064,-0.15280,0.77577,0.08989,0.60560,0.05508,-0.12426,-0.21591,
1403638133195097088,-0.02046,-0.02383,-0.01331,-0.14346,0.77857,0.09359,0.60373,0.08022,-0.24638,-0.23277,
1403638133295097088,-0.01403,-0.05503,-0.03449,-0.12925,0.77990,0.08384,0.60665,0.07839,-0.35585,-0.24547,
1403638133395097088,-0.00804,-0.09338,-0.05726,-0.10985,0.78575,0.07574,0.60398,0.05472,-0.42446,-0.23468,
1403638133495096832,-0.00591,-0.13817,-0.07646,-0.08712,0.78980,0.05926,0.60425,0.00907,-0.47345,-0.18675,
1403638133595097088,-0.01079,-0.18280,-0.08690,-0.07842,0.79170,0.03624,0.60476,-0.04393,-0.45937,-0.16690,
1403638133695097088,-0.01772,-0.22567,-0.10211,-0.07580,0.79577,0.01872,0.60054,-0.08118,-0.41655,-0.15434,
1403638133795097088,-0.02774,-0.26684,-0.11781,-0.05631,0.79994,-0.00009,0.59744,-0.04944,-0.35129,-0.14842,
1403638133895097088,-0.04035,-0.29883,-0.13120,-0.02876,0.80405,-0.01768,0.59360,0.00834,-0.21274,-0.11993,
1403638133995096832,-0.04473,-0.30816,-0.14095,-0.01096,0.80660,-0.03555,0.58993,0.11542,0.01736,-0.03394,
